model,AggregationKind,Cardinality,Class,Classifier,ClassStereotype,ClassView,ConnectorView,DecoratableElement,Diagram,DiagramElement,ElementView,Generalization,GeneralizationSet,GeneralizationSetView,GeneralizationView,Literal,ModelElement,NodeView,Note,NoteView,OntologicalNature,OntoumlElement,Package,PackageView,Path,Point,Project,Property,PropertyStereotype,Rectangle,RectangularShape,Relation,RelationStereotype,RelationView,Shape,Stereotype,Text,Class_isExtensional_True,Class_isExtensional_False,Class_isPowertype_True,Class_isPowertype_False,Class_isAbstract_True,Class_isAbstract_False,Class_isDerived_True,Class_isDerived_False,Relation_isAbstract_True,Relation_isAbstract_False,Relation_isDerived_True,Relation_isDerived_False,GeneralizationSet_isComplete_True,GeneralizationSet_isComplete_False,GeneralizationSet_isDisjoint_True,GeneralizationSet_isDisjoint_False,Property_isOrdered_True,Property_isOrdered_False,Property_isReadOnly_True,Property_isReadOnly_False,Property_isDerived_True,Property_isDerived_False
cmpo2017,0,132,55,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,66,0,0,0,0,0,0,25,0,55,0,55,0,55,0,66,0,66,2,0,2,0,0,132,0,132,0,132
construction-model,0,14,13,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,7,0,0,0,0,0,0,9,0,13,0,13,0,13,0,7,0,7,0,0,0,0,0,14,2,12,0,14
core-o2023,0,94,30,0,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,47,0,0,0,0,0,0,10,0,30,0,30,0,30,0,47,5,42,0,6,0,6,0,94,15,79,0,94
dcat-mlt-ufo2023,0,62,30,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,31,0,0,0,0,0,0,11,0,30,0,30,0,30,0,31,1,30,0,0,0,0,0,68,9,59,0,68
debbech2019gosmo,0,50,22,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,25,0,0,0,0,0,0,0,0,22,0,22,0,22,0,25,0,25,0,0,0,0,0,50,0,50,0,50
debbech2020dysfunction-analysis,0,58,37,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,29,0,0,0,0,0,0,0,0,37,0,37,0,37,0,29,0,29,0,0,0,0,0,58,0,58,0,58
demori2023miscon,0,23,31,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,27,0,0,0,0,0,0,12,0,31,0,31,0,31,0,27,1,26,0,0,0,0,0,54,11,43,0,54
derave2019dpo,0,598,259,0,0,0,0,0,0,0,0,250,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,0,0,0,299,0,0,0,0,0,0,147,0,259,52,207,0,259,0,299,1,298,11,7,6,12,0,655,161,494,0,655
digitaldoctor2022,0,46,48,0,0,0,0,0,0,0,0,43,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,23,0,0,0,0,0,0,28,0,48,7,41,0,48,0,23,1,22,6,2,4,4,0,124,15,109,0,124
dpo2017,0,102,40,0,0,0,0,0,0,0,0,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,51,0,0,0,0,0,0,17,0,40,0,40,0,40,0,51,0,51,3,0,3,0,0,102,0,102,0,102
duarte2018osdef,0,50,34,0,0,0,0,0,0,0,0,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,25,0,0,0,0,0,0,0,0,34,0,34,0,34,0,25,0,25,2,2,4,0,0,50,0,50,0,50
duarte2018reqon,0,82,57,0,0,0,0,0,0,0,0,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,41,0,0,0,0,0,0,0,0,57,0,57,0,57,0,41,4,37,1,2,2,1,0,82,0,82,0,82
duarte2020jogabilidade,0,45,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,21,0,0,0,0,0,0,2,0,19,0,19,0,19,0,21,2,19,0,0,0,0,0,45,13,32,0,45
duarte2021ross,0,46,31,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,23,0,0,0,0,0,0,0,0,31,0,31,0,31,0,23,0,23,1,0,1,0,0,46,0,46,0,46
elghosh2020cargos,0,30,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,15,0,0,0,0,0,0,5,0,10,2,8,0,10,0,15,1,14,0,0,0,0,0,30,7,23,0,30
elikan2018brand-identity,0,62,30,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,31,0,0,0,0,0,0,11,0,30,0,30,0,30,0,31,1,30,0,0,0,0,0,62,10,52,0,62
eu-rent-refactored2022,0,100,66,0,0,0,0,0,0,0,0,53,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,50,0,0,0,0,0,0,48,0,66,2,64,0,66,0,50,11,39,8,3,10,1,0,108,28,80,0,108
experiment2013,0,52,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,26,0,0,0,0,0,0,1,0,22,0,22,0,22,0,26,0,26,0,0,0,0,0,52,1,51,0,52
falduci2022non-consensual-pornography,0,76,27,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,38,0,0,0,0,0,0,14,0,27,0,27,0,27,0,38,4,34,0,2,1,1,0,76,27,49,0,76
fernandez-cejas2022curie-o,0,42,29,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,21,0,0,0,0,0,0,15,0,29,2,27,0,29,0,21,0,21,2,1,3,0,0,42,20,22,0,42
ferreira2015ontoemergeplan,0,247,147,0,0,0,0,0,0,0,0,117,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,121,0,0,0,0,0,0,68,0,147,6,141,0,147,0,121,0,121,17,2,17,2,0,247,23,224,0,247
fischer2018ontorea,0,46,18,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,23,0,0,0,0,0,0,9,0,18,4,14,0,18,0,23,4,19,4,0,4,0,0,46,4,42,0,46
fonseca2022incorporating,0,42,51,0,0,0,0,0,0,0,0,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,21,0,0,0,0,0,0,20,1,50,0,51,0,51,0,21,1,20,4,2,5,1,0,61,16,45,0,61
formula-one2023,0,26,26,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,13,0,0,0,0,0,0,16,0,26,0,26,0,26,0,13,1,12,4,2,6,0,0,26,5,21,0,26
fraller2019abc,0,92,39,0,0,0,0,0,0,0,0,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,46,0,0,0,0,0,0,23,0,39,0,39,0,39,0,46,0,46,8,0,8,0,0,137,14,123,0,137
franco2018rpg,0,48,23,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,24,0,0,0,0,0,0,8,0,23,0,23,0,23,0,24,0,24,2,0,2,0,0,48,6,42,0,48
freshbz2023,0,124,91,0,0,0,0,0,0,0,0,56,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,63,0,0,0,0,0,0,49,0,91,0,91,0,91,0,63,0,63,4,8,9,3,0,126,45,81,0,126
fumagalli2022criminal-investigation,0,18,10,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,9,0,0,0,0,0,0,7,0,10,0,10,0,10,0,9,2,7,1,1,1,1,0,18,7,11,0,18
g809-2015,0,36,24,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,18,0,0,0,0,0,0,11,0,24,1,23,0,24,0,18,2,16,4,0,4,0,0,36,23,13,0,36
gailly2016value,0,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,15,0,0,0,0,0,0,0,0,12,0,12,0,12,0,15,0,15,0,0,0,0,0,30,0,30,0,30
garcia2022human-genome-events,0,16,15,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,8,0,0,0,0,0,0,7,0,15,3,12,0,15,0,8,0,8,0,0,0,0,0,27,9,18,0,27
